label_id	clusters	morphologyColourScheme
17953.0	5	255-181-131-84
17610.0	2	255-7-197-226
17596.0	4	255-254-141-100
17236.0	2	255-7-197-226
17717.0	0	255-255-0-73
18180.0	0	255-255-0-73
17777.0	8	255-222-69-200
18684.0	1	255-147-172-58
18693.0	4	255-254-141-100
18291.0	3	255-98-0-122
19409.0	0	255-255-0-73
19088.0	4	255-254-141-100
18435.0	6	255-209-164-255
19480.0	2	255-7-197-226
18051.0	6	255-209-164-255
18952.0	0	255-255-0-73
18624.0	8	255-222-69-200
19340.0	8	255-222-69-200
18673.0	4	255-254-141-100
20280.0	7	255-98-132-2
19424.0	9	255-0-76-255
19735.0	2	255-7-197-226
19747.0	10	255-114-16-255
20037.0	10	255-114-16-255
18855.0	4	255-254-141-100
19783.0	8	255-222-69-200
19864.0	8	255-222-69-200
19596.0	9	255-0-76-255
19960.0	3	255-98-0-122
20537.0	10	255-114-16-255
20324.0	4	255-254-141-100
20585.0	5	255-181-131-84
20873.0	10	255-114-16-255
20413.0	4	255-254-141-100
20126.0	3	255-98-0-122
21022.0	8	255-222-69-200
21716.0	5	255-181-131-84
21298.0	5	255-181-131-84
21301.0	7	255-98-132-2
21061.0	4	255-254-141-100
21538.0	5	255-181-131-84
21354.0	4	255-254-141-100
12942.0	9	255-0-76-255
21132.0	3	255-98-0-122
21400.0	7	255-98-132-2
21261.0	8	255-222-69-200
22289.0	10	255-114-16-255
22114.0	0	255-255-0-73
22004.0	4	255-254-141-100
22412.0	7	255-98-132-2
22241.0	8	255-222-69-200
22447.0	5	255-181-131-84
21873.0	4	255-254-141-100
22090.0	8	255-222-69-200
20713.0	9	255-0-76-255
21882.0	8	255-222-69-200
23369.0	3	255-98-0-122
22135.0	4	255-254-141-100
22925.0	9	255-0-76-255
22456.0	0	255-255-0-73
23159.0	4	255-254-141-100
23511.0	8	255-222-69-200
22988.0	8	255-222-69-200
23783.0	8	255-222-69-200
23945.0	5	255-181-131-84
23952.0	6	255-209-164-255
24285.0	4	255-254-141-100
24150.0	3	255-98-0-122
23685.0	4	255-254-141-100
23985.0	2	255-7-197-226
24912.0	2	255-7-197-226
24958.0	10	255-114-16-255
24633.0	5	255-181-131-84
24181.0	4	255-254-141-100
24865.0	9	255-0-76-255
16415.0	9	255-0-76-255
25097.0	10	255-114-16-255
25106.0	10	255-114-16-255
24550.0	8	255-222-69-200
25417.0	6	255-209-164-255
25818.0	4	255-254-141-100
25292.0	4	255-254-141-100
25699.0	9	255-0-76-255
25576.0	8	255-222-69-200
25766.0	6	255-209-164-255
25570.0	8	255-222-69-200
26418.0	0	255-255-0-73
25811.0	9	255-0-76-255
25435.0	4	255-254-141-100
26246.0	4	255-254-141-100
26637.0	2	255-7-197-226
26290.0	8	255-222-69-200
26799.0	5	255-181-131-84
26976.0	2	255-7-197-226
27412.0	1	255-147-172-58
27064.0	2	255-7-197-226
26886.0	8	255-222-69-200
27294.0	3	255-98-0-122
26142.0	3	255-98-0-122
27578.0	0	255-255-0-73
27391.0	8	255-222-69-200
27850.0	10	255-114-16-255
27655.0	4	255-254-141-100
27512.0	7	255-98-132-2
27734.0	0	255-255-0-73
27345.0	4	255-254-141-100
28793.0	0	255-255-0-73
27641.0	4	255-254-141-100
27856.0	1	255-147-172-58
27894.0	8	255-222-69-200
27482.0	3	255-98-0-122
28417.0	2	255-7-197-226
28710.0	4	255-254-141-100
29180.0	6	255-209-164-255
28987.0	9	255-0-76-255
28767.0	6	255-209-164-255
28993.0	8	255-222-69-200
29242.0	5	255-181-131-84
27284.0	9	255-0-76-255
29159.0	5	255-181-131-84
21866.0	9	255-0-76-255
28727.0	9	255-0-76-255
29217.0	6	255-209-164-255
30067.0	3	255-98-0-122
29665.0	8	255-222-69-200
29460.0	9	255-0-76-255
29464.0	4	255-254-141-100
29739.0	3	255-98-0-122
28408.0	0	255-255-0-73
28227.0	0	255-255-0-73
28506.0	9	255-0-76-255
30230.0	5	255-181-131-84
30074.0	9	255-0-76-255
30247.0	3	255-98-0-122
949.0	6	255-209-164-255
1097.0	4	255-254-141-100
942.0	6	255-209-164-255
343.0	4	255-254-141-100
584.0	4	255-254-141-100
1086.0	1	255-147-172-58
1240.0	1	255-147-172-58
1099.0	3	255-98-0-122
1089.0	7	255-98-132-2
1102.0	1	255-147-172-58
1246.0	7	255-98-132-2
572.0	1	255-147-172-58
1242.0	7	255-98-132-2
354.0	4	255-254-141-100
957.0	2	255-7-197-226
1259.0	2	255-7-197-226
946.0	7	255-98-132-2
1258.0	1	255-147-172-58
958.0	1	255-147-172-58
489.0	4	255-254-141-100
970.0	7	255-98-132-2
1110.0	8	255-222-69-200
1093.0	8	255-222-69-200
1114.0	6	255-209-164-255
1127.0	6	255-209-164-255
977.0	7	255-98-132-2
1267.0	4	255-254-141-100
830.0	4	255-254-141-100
472.0	2	255-7-197-226
1118.0	1	255-147-172-58
1117.0	1	255-147-172-58
1287.0	5	255-181-131-84
950.0	1	255-147-172-58
1273.0	1	255-147-172-58
1154.0	2	255-7-197-226
1121.0	1	255-147-172-58
1289.0	2	255-7-197-226
1139.0	1	255-147-172-58
1288.0	2	255-7-197-226
833.0	6	255-209-164-255
514.0	1	255-147-172-58
834.0	1	255-147-172-58
1275.0	4	255-254-141-100
969.0	1	255-147-172-58
857.0	2	255-7-197-226
995.0	1	255-147-172-58
734.0	1	255-147-172-58
1291.0	1	255-147-172-58
835.0	1	255-147-172-58
996.0	1	255-147-172-58
861.0	6	255-209-164-255
1293.0	1	255-147-172-58
521.0	4	255-254-141-100
756.0	4	255-254-141-100
1028.0	4	255-254-141-100
1143.0	1	255-147-172-58
1146.0	1	255-147-172-58
1328.0	1	255-147-172-58
1326.0	1	255-147-172-58
1148.0	1	255-147-172-58
874.0	1	255-147-172-58
870.0	4	255-254-141-100
1006.0	1	255-147-172-58
1171.0	1	255-147-172-58
1170.0	1	255-147-172-58
1008.0	1	255-147-172-58
1150.0	2	255-7-197-226
875.0	1	255-147-172-58
1334.0	1	255-147-172-58
426.0	6	255-209-164-255
1174.0	2	255-7-197-226
1040.0	2	255-7-197-226
763.0	1	255-147-172-58
1308.0	1	255-147-172-58
1012.0	10	255-114-16-255
1153.0	2	255-7-197-226
1310.0	2	255-7-197-226
1336.0	2	255-7-197-226
1176.0	2	255-7-197-226
1312.0	2	255-7-197-226
1050.0	2	255-7-197-226
1442.0	2	255-7-197-226
1313.0	2	255-7-197-226
1046.0	2	255-7-197-226
1177.0	2	255-7-197-226
1156.0	1	255-147-172-58
1339.0	2	255-7-197-226
1179.0	2	255-7-197-226
1340.0	2	255-7-197-226
1180.0	2	255-7-197-226
1181.0	2	255-7-197-226
1158.0	1	255-147-172-58
1315.0	2	255-7-197-226
1341.0	2	255-7-197-226
1159.0	1	255-147-172-58
1316.0	2	255-7-197-226
1342.0	1	255-147-172-58
1052.0	2	255-7-197-226
860.0	1	255-147-172-58
913.0	4	255-254-141-100
792.0	4	255-254-141-100
1349.0	7	255-98-132-2
1064.0	6	255-209-164-255
1351.0	1	255-147-172-58
1456.0	2	255-7-197-226
1169.0	2	255-7-197-226
923.0	6	255-209-164-255
921.0	4	255-254-141-100
1055.0	4	255-254-141-100
1191.0	1	255-147-172-58
1190.0	2	255-7-197-226
1362.0	1	255-147-172-58
1056.0	1	255-147-172-58
1211.0	1	255-147-172-58
798.0	1	255-147-172-58
1058.0	1	255-147-172-58
1212.0	1	255-147-172-58
1194.0	2	255-7-197-226
1364.0	1	255-147-172-58
1354.0	2	255-7-197-226
916.0	1	255-147-172-58
677.0	1	255-147-172-58
1196.0	2	255-7-197-226
1198.0	2	255-7-197-226
1199.0	2	255-7-197-226
1355.0	2	255-7-197-226
1200.0	2	255-7-197-226
1202.0	2	255-7-197-226
1220.0	4	255-254-141-100
1219.0	7	255-98-132-2
1356.0	2	255-7-197-226
1206.0	2	255-7-197-226
1357.0	1	255-147-172-58
1051.0	3	255-98-0-122
1358.0	1	255-147-172-58
1367.0	1	255-147-172-58
1221.0	4	255-254-141-100
933.0	1	255-147-172-58
1071.0	1	255-147-172-58
1371.0	1	255-147-172-58
233.0	4	255-254-141-100
804.0	6	255-209-164-255
688.0	4	255-254-141-100
939.0	6	255-209-164-255
1230.0	6	255-209-164-255
944.0	7	255-98-132-2
1092.0	4	255-254-141-100
947.0	1	255-147-172-58
818.0	6	255-209-164-255
1082.0	6	255-209-164-255
697.0	4	255-254-141-100
1378.0	1	255-147-172-58
1519.0	1	255-147-172-58
1523.0	1	255-147-172-58
1078.0	6	255-209-164-255
1690.0	1	255-147-172-58
1537.0	1	255-147-172-58
1382.0	1	255-147-172-58
1692.0	1	255-147-172-58
1383.0	1	255-147-172-58
1098.0	1	255-147-172-58
1538.0	1	255-147-172-58
1088.0	7	255-98-132-2
1396.0	2	255-7-197-226
1241.0	1	255-147-172-58
1388.0	7	255-98-132-2
1397.0	1	255-147-172-58
1387.0	7	255-98-132-2
1106.0	1	255-147-172-58
1103.0	1	255-147-172-58
1399.0	1	255-147-172-58
1527.0	1	255-147-172-58
1525.0	1	255-147-172-58
1244.0	1	255-147-172-58
464.0	9	255-0-76-255
824.0	2	255-7-197-226
1104.0	1	255-147-172-58
1390.0	1	255-147-172-58
1401.0	1	255-147-172-58
1389.0	3	255-98-0-122
1543.0	7	255-98-132-2
1113.0	4	255-254-141-100
1260.0	4	255-254-141-100
1279.0	6	255-209-164-255
1299.0	4	255-254-141-100
846.0	6	255-209-164-255
607.0	4	255-254-141-100
1281.0	7	255-98-132-2
976.0	4	255-254-141-100
1713.0	5	255-181-131-84
1132.0	6	255-209-164-255
879.0	6	255-209-164-255
746.0	9	255-0-76-255
831.0	6	255-209-164-255
1011.0	4	255-254-141-100
581.0	4	255-254-141-100
1307.0	10	255-114-16-255
1411.0	1	255-147-172-58
1413.0	1	255-147-172-58
1270.0	1	255-147-172-58
1311.0	2	255-7-197-226
1120.0	1	255-147-172-58
1421.0	5	255-181-131-84
1702.0	1	255-147-172-58
1271.0	1	255-147-172-58
1422.0	1	255-147-172-58
1886.0	5	255-181-131-84
1423.0	2	255-7-197-226
1548.0	1	255-147-172-58
1255.0	1	255-147-172-58
1717.0	2	255-7-197-226
1122.0	2	255-7-197-226
1444.0	2	255-7-197-226
1549.0	2	255-7-197-226
1551.0	1	255-147-172-58
1868.0	2	255-7-197-226
1424.0	1	255-147-172-58
993.0	2	255-7-197-226
1704.0	1	255-147-172-58
1718.0	1	255-147-172-58
1276.0	4	255-254-141-100
1425.0	1	255-147-172-58
1290.0	1	255-147-172-58
1292.0	2	255-7-197-226
1277.0	1	255-147-172-58
1552.0	1	255-147-172-58
1125.0	1	255-147-172-58
733.0	1	255-147-172-58
1426.0	1	255-147-172-58
1869.0	1	255-147-172-58
1415.0	1	255-147-172-58
1870.0	7	255-98-132-2
1428.0	1	255-147-172-58
1112.0	1	255-147-172-58
1427.0	2	255-7-197-226
1707.0	3	255-98-0-122
1296.0	2	255-7-197-226
961.0	6	255-209-164-255
1708.0	1	255-147-172-58
1294.0	1	255-147-172-58
1566.0	1	255-147-172-58
1721.0	1	255-147-172-58
1567.0	1	255-147-172-58
1162.0	6	255-209-164-255
1347.0	6	255-209-164-255
737.0	6	255-209-164-255
863.0	1	255-147-172-58
1325.0	6	255-209-164-255
1750.0	7	255-98-132-2
1436.0	1	255-147-172-58
1302.0	1	255-147-172-58
1435.0	1	255-147-172-58
1727.0	7	255-98-132-2
1165.0	1	255-147-172-58
1573.0	1	255-147-172-58
1438.0	1	255-147-172-58
1732.0	1	255-147-172-58
1455.0	1	255-147-172-58
507.0	4	255-254-141-100
1574.0	1	255-147-172-58
1168.0	1	255-147-172-58
1304.0	1	255-147-172-58
1576.0	1	255-147-172-58
1930.0	1	255-147-172-58
1457.0	1	255-147-172-58
1579.0	1	255-147-172-58
1332.0	1	255-147-172-58
1578.0	1	255-147-172-58
527.0	4	255-254-141-100
1172.0	1	255-147-172-58
1580.0	1	255-147-172-58
1581.0	1	255-147-172-58
1331.0	1	255-147-172-58
1440.0	2	255-7-197-226
1931.0	2	255-7-197-226
1612.0	1	255-147-172-58
1459.0	2	255-7-197-226
1628.0	2	255-7-197-226
1582.0	1	255-147-172-58
1613.0	2	255-7-197-226
1583.0	2	255-7-197-226
1460.0	1	255-147-172-58
1752.0	2	255-7-197-226
1753.0	2	255-7-197-226
1461.0	2	255-7-197-226
1593.0	2	255-7-197-226
1591.0	2	255-7-197-226
1754.0	2	255-7-197-226
1590.0	1	255-147-172-58
1755.0	2	255-7-197-226
1737.0	2	255-7-197-226
1756.0	2	255-7-197-226
1738.0	2	255-7-197-226
1740.0	2	255-7-197-226
1594.0	1	255-147-172-58
1739.0	2	255-7-197-226
1757.0	2	255-7-197-226
1596.0	2	255-7-197-226
1595.0	2	255-7-197-226
1443.0	2	255-7-197-226
1889.0	2	255-7-197-226
1758.0	2	255-7-197-226
1597.0	2	255-7-197-226
1614.0	2	255-7-197-226
1742.0	2	255-7-197-226
1761.0	2	255-7-197-226
1598.0	2	255-7-197-226
1763.0	2	255-7-197-226
992.0	2	255-7-197-226
1464.0	2	255-7-197-226
907.0	1	255-147-172-58
1765.0	2	255-7-197-226
1465.0	2	255-7-197-226
1466.0	1	255-147-172-58
910.0	1	255-147-172-58
1318.0	2	255-7-197-226
1320.0	1	255-147-172-58
1615.0	2	255-7-197-226
1600.0	1	255-147-172-58
1766.0	2	255-7-197-226
1345.0	1	255-147-172-58
1023.0	2	255-7-197-226
1768.0	7	255-98-132-2
1601.0	1	255-147-172-58
1026.0	8	255-222-69-200
1744.0	5	255-181-131-84
1448.0	1	255-147-172-58
1602.0	6	255-209-164-255
1061.0	6	255-209-164-255
1605.0	1	255-147-172-58
1207.0	1	255-147-172-58
1489.0	1	255-147-172-58
1773.0	1	255-147-172-58
1492.0	3	255-98-0-122
1327.0	1	255-147-172-58
1454.0	1	255-147-172-58
1453.0	1	255-147-172-58
1623.0	1	255-147-172-58
1474.0	1	255-147-172-58
1330.0	2	255-7-197-226
1493.0	5	255-181-131-84
1624.0	2	255-7-197-226
1790.0	1	255-147-172-58
1494.0	7	255-98-132-2
1777.0	1	255-147-172-58
1641.0	1	255-147-172-58
1458.0	2	255-7-197-226
1495.0	7	255-98-132-2
1626.0	1	255-147-172-58
1778.0	2	255-7-197-226
1792.0	2	255-7-197-226
1496.0	1	255-147-172-58
1643.0	1	255-147-172-58
1479.0	1	255-147-172-58
1779.0	2	255-7-197-226
1353.0	2	255-7-197-226
1499.0	1	255-147-172-58
1363.0	1	255-147-172-58
1500.0	1	255-147-172-58
1067.0	1	255-147-172-58
1629.0	2	255-7-197-226
1480.0	2	255-7-197-226
1646.0	2	255-7-197-226
1796.0	1	255-147-172-58
1783.0	2	255-7-197-226
928.0	1	255-147-172-58
1365.0	1	255-147-172-58
1630.0	2	255-7-197-226
1504.0	1	255-147-172-58
1059.0	2	255-7-197-226
1632.0	2	255-7-197-226
1503.0	1	255-147-172-58
1483.0	2	255-7-197-226
1948.0	2	255-7-197-226
1506.0	1	255-147-172-58
1215.0	1	255-147-172-58
1631.0	3	255-98-0-122
1649.0	2	255-7-197-226
1484.0	2	255-7-197-226
1651.0	1	255-147-172-58
1201.0	3	255-98-0-122
1507.0	2	255-7-197-226
1509.0	2	255-7-197-226
2113.0	2	255-7-197-226
1486.0	2	255-7-197-226
1485.0	3	255-98-0-122
1663.0	3	255-98-0-122
1802.0	2	255-7-197-226
1633.0	2	255-7-197-226
1652.0	2	255-7-197-226
1634.0	2	255-7-197-226
1060.0	1	255-147-172-58
1804.0	2	255-7-197-226
1784.0	1	255-147-172-58
1971.0	7	255-98-132-2
1640.0	8	255-222-69-200
1223.0	4	255-254-141-100
1225.0	7	255-98-132-2
1224.0	4	255-254-141-100
1808.0	1	255-147-172-58
936.0	4	255-254-141-100
563.0	4	255-254-141-100
1501.0	1	255-147-172-58
927.0	1	255-147-172-58
1375.0	6	255-209-164-255
1813.0	6	255-209-164-255
1508.0	3	255-98-0-122
1229.0	6	255-209-164-255
1815.0	1	255-147-172-58
1514.0	6	255-209-164-255
1513.0	1	255-147-172-58
1984.0	1	255-147-172-58
1816.0	8	255-222-69-200
1386.0	7	255-98-132-2
1985.0	1	255-147-172-58
1376.0	1	255-147-172-58
1836.0	1	255-147-172-58
1689.0	6	255-209-164-255
2164.0	1	255-147-172-58
2001.0	7	255-98-132-2
1228.0	4	255-254-141-100
1095.0	1	255-147-172-58
1534.0	5	255-181-131-84
1235.0	3	255-98-0-122
1990.0	1	255-147-172-58
1844.0	1	255-147-172-58
701.0	1	255-147-172-58
2156.0	3	255-98-0-122
1825.0	1	255-147-172-58
1843.0	1	255-147-172-58
1536.0	1	255-147-172-58
1846.0	1	255-147-172-58
1381.0	1	255-147-172-58
2168.0	1	255-147-172-58
1691.0	1	255-147-172-58
1991.0	1	255-147-172-58
1237.0	1	255-147-172-58
1848.0	1	255-147-172-58
2006.0	1	255-147-172-58
1675.0	1	255-147-172-58
1693.0	1	255-147-172-58
2007.0	2	255-7-197-226
1385.0	7	255-98-132-2
1694.0	1	255-147-172-58
2009.0	2	255-7-197-226
1995.0	1	255-147-172-58
1541.0	1	255-147-172-58
1526.0	1	255-147-172-58
1684.0	1	255-147-172-58
1685.0	1	255-147-172-58
1849.0	1	255-147-172-58
1528.0	1	255-147-172-58
1834.0	1	255-147-172-58
1996.0	1	255-147-172-58
2328.0	1	255-147-172-58
1997.0	3	255-98-0-122
1852.0	2	255-7-197-226
2329.0	1	255-147-172-58
1837.0	1	255-147-172-58
1111.0	4	255-254-141-100
1686.0	4	255-254-141-100
1696.0	4	255-254-141-100
1854.0	4	255-254-141-100
2175.0	1	255-147-172-58
1544.0	4	255-254-141-100
1697.0	1	255-147-172-58
1856.0	4	255-254-141-100
1698.0	4	255-254-141-100
1406.0	6	255-209-164-255
1857.0	6	255-209-164-255
1129.0	10	255-114-16-255
1874.0	6	255-209-164-255
1555.0	6	255-209-164-255
1558.0	4	255-254-141-100
1130.0	6	255-209-164-255
1416.0	6	255-209-164-255
2032.0	9	255-0-76-255
1710.0	3	255-98-0-122
1283.0	9	255-0-76-255
1688.0	7	255-98-132-2
878.0	9	255-0-76-255
2019.0	3	255-98-0-122
2002.0	7	255-98-132-2
1883.0	6	255-209-164-255
1845.0	1	255-147-172-58
2181.0	1	255-147-172-58
2192.0	2	255-7-197-226
1272.0	1	255-147-172-58
1885.0	1	255-147-172-58
1864.0	1	255-147-172-58
1847.0	1	255-147-172-58
1547.0	1	255-147-172-58
2035.0	1	255-147-172-58
2349.0	2	255-7-197-226
1887.0	1	255-147-172-58
2036.0	2	255-7-197-226
1862.0	1	255-147-172-58
1863.0	1	255-147-172-58
2037.0	2	255-7-197-226
1703.0	6	255-209-164-255
1888.0	1	255-147-172-58
2038.0	1	255-147-172-58
2195.0	2	255-7-197-226
2008.0	1	255-147-172-58
1850.0	1	255-147-172-58
2194.0	2	255-7-197-226
1865.0	1	255-147-172-58
2039.0	2	255-7-197-226
2021.0	1	255-147-172-58
2067.0	2	255-7-197-226
1890.0	2	255-7-197-226
2022.0	1	255-147-172-58
2023.0	1	255-147-172-58
2330.0	1	255-147-172-58
1705.0	1	255-147-172-58
1894.0	1	255-147-172-58
1124.0	2	255-7-197-226
1550.0	7	255-98-132-2
2183.0	1	255-147-172-58
2024.0	1	255-147-172-58
1719.0	2	255-7-197-226
1895.0	2	255-7-197-226
2025.0	2	255-7-197-226
1564.0	2	255-7-197-226
1430.0	2	255-7-197-226
2026.0	1	255-147-172-58
2200.0	1	255-147-172-58
1896.0	1	255-147-172-58
2186.0	1	255-147-172-58
2027.0	6	255-209-164-255
1898.0	1	255-147-172-58
1297.0	8	255-222-69-200
2029.0	4	255-254-141-100
2075.0	6	255-209-164-255
1568.0	4	255-254-141-100
1569.0	10	255-114-16-255
1920.0	1	255-147-172-58
2045.0	1	255-147-172-58
2209.0	1	255-147-172-58
1922.0	1	255-147-172-58
1900.0	1	255-147-172-58
1921.0	1	255-147-172-58
2048.0	1	255-147-172-58
1902.0	7	255-98-132-2
2077.0	7	255-98-132-2
2047.0	1	255-147-172-58
1728.0	5	255-181-131-84
1925.0	1	255-147-172-58
1726.0	1	255-147-172-58
1730.0	1	255-147-172-58
2229.0	1	255-147-172-58
2050.0	1	255-147-172-58
1907.0	5	255-181-131-84
1924.0	1	255-147-172-58
1927.0	2	255-7-197-226
2079.0	2	255-7-197-226
2052.0	1	255-147-172-58
1928.0	2	255-7-197-226
2080.0	1	255-147-172-58
1575.0	1	255-147-172-58
2234.0	2	255-7-197-226
2081.0	1	255-147-172-58
1908.0	1	255-147-172-58
1577.0	2	255-7-197-226
2056.0	2	255-7-197-226
2055.0	1	255-147-172-58
1776.0	2	255-7-197-226
1909.0	1	255-147-172-58
1611.0	2	255-7-197-226
2057.0	2	255-7-197-226
2235.0	2	255-7-197-226
1735.0	2	255-7-197-226
2083.0	2	255-7-197-226
2376.0	2	255-7-197-226
1439.0	1	255-147-172-58
2059.0	2	255-7-197-226
2084.0	2	255-7-197-226
2085.0	2	255-7-197-226
2086.0	2	255-7-197-226
1912.0	1	255-147-172-58
2399.0	2	255-7-197-226
1913.0	2	255-7-197-226
2088.0	2	255-7-197-226
