point
43    
0.1855	0.167	0.027
0.215	0.115	0.07
0.1388	0.2104	0.0659
0.2045	0.08	0.0905
0.1055	0.2047	0.093
0.2335	0.0545	0.1535
0.089	0.2295	0.1565
0.155919	0.033411	0.236
0.052259	0.154206	0.2505
0.123793	0.062539	0.2735
0.089953	0.107944	0.2745
0.136215	0.115226	0.2645
0.122936	0.083528	0.252
0.10366	0.10109	0.252
0.119081	0.071534	0.211
0.084385	0.113941	0.2165
0.148637	0.076674	0.1525
0.135787	0.090382	0.1525
0.092095	0.15035	0.1525
0.103232	0.135787	0.1525
0.137928	0.12979	0.099
0.16381	0.150083	0.108
0.198256	0.139327	0.0685
0.160797	0.19186	0.071
0.204651	0.043397	0.154
0.067608	0.208762	0.158
0.181811	0.047965	0.232
0.216	0.149	0.0138
0.172	0.199	0.013
0.144809	0.134302	0.0415
0.236171	0.168563	0.063
0.197799	0.217442	0.0615
0.233887	0.149377	0.0655
0.177243	0.215615	0.07
0.192303	0.156196	0.113
0.190298	0.154592	0.124
0.17191	0.176791	0.124
0.173314	0.177794	0.1135
0.156	0.176724	0.1167
0.186	0.140082	0.1157
0.217802	0.149974	0.0155
0.172444	0.200035	0.0145
0.064923	0.180609	0.2515
