label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels	secretory	gut	empty	gland	yolk	neuropil	cuticle
1.0	153.46500430822326	142.81201541888674	139.92478888769764	38.48	22.4	0.0	246.48	259.12	284.9000000000001	149388736.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
2.0	156.2118867063274	144.11069483514112	106.88507755220681	73.12	64.8	23.6	226.24	212.56	259.3	180663718.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
3.0	95.9430218736102	187.9346072049488	180.95152832248414	88.0	172.88	177.20000000000005	102.32	194.48	182.5	49466.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.0	86.50228575978954	127.37352376925585	235.7283791390804	41.6	112.16	219.4	106.4	144.56	249.1	12369445.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
5.0	75.49980949627009	186.80654894336064	162.1348569711461	43.04	129.28	155.8	98.32	199.76	241.7	1853612.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
6.0	101.8548987544939	148.7236824098839	242.14370393301888	48.56	118.0	158.8	123.68	199.76	255.7	25354114.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
7.0	72.06159196458657	157.25522813773938	238.3577949823756	60.72	137.12	225.0	90.96	181.68	254.9	377031.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8.0	78.53790814891039	155.94266774922232	248.53374076545256	61.76	146.56	235.8	103.04	161.12	256.5	248794.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9.0	86.08360621442854	151.20562651899706	251.4257637286572	68.72	132.56	244.2	100.88	169.04	256.3	260040.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10.0	110.63975680651563	210.0998840168789	166.4813765740736	85.52	200.72	157.4	144.08	220.16	178.10000000000005	210203.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11.0	94.41382809125538	157.08930773157417	168.01835414457926	86.32000000000002	150.56	159.60000000000005	103.68	165.52	174.4	101868.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12.0	111.68925789933132	196.47290917745013	167.75729510402056	88.08	177.52	147.4	130.56	227.92	188.1	20992408.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
13.0	117.26508241796766	131.70814521016152	210.5255297073893	89.04	112.96	164.5	128.72	160.8	227.8	641911.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14.0	96.26132283864416	171.14301383775557	234.1989843849181	93.28	166.24	178.0	104.88	192.88	240.9	15754.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
